,zh,zhcn,ja,en
GodName,蔡画仙,蔡画仙,蔡画仙,蔡画仙
,,,,
Accuracy,正确率,正确率,正确率,正确率
PassTime,过关时间,过关时间,过关时间,过关时间
Difficulty,困难度,困难度,困难度,困难度
LV0,初级,初级,初级,初级
LV1,中级,中级,中级,中级
LV2,高级,高级,高级,高级
LV3,专家,专家,专家,专家
EndTime,答题时间,答题时间,答题时间,答题时间
YourStage,您选择挑战的关卡是,您选择挑战的关卡是,您选择挑战的关卡是,您选择挑战的关卡是
,,,,
Lan_GameStart,游戏开始。,游戏开始。,游戏开始。,游戏开始。
Lan_Exam,小测验,小测验,小测验,小测验
Lan_Shelf,多宝格,多宝格,多宝格,多宝格
Lan_Settings,设定,设定,设定,设定
Lan_Loading,典藏文物读取中,典藏文物读取中,典藏文物读取中,典藏文物读取中
Lan_Right,很好！你真给力,很好！你真给力,很好！你真给力,很好！你真给力
Lan_Wrong,不是这里，再试一次。,不是这里，再试一次。,不是这里，再试一次。,不是这里，再试一次。
Lan_Readme,不是这里。左上方的卷轴里面藏有提示喔！,不是这里。左上方的卷轴里面藏有提示喔！,不是这里。左上方的卷轴里面藏有提示喔！,不是这里。左上方的卷轴里面藏有提示喔！
Lan_BeforeLose,不是这里。还有一次机会喔。,不是这里。还有一次机会喔。,不是这里。还有一次机会喔。,不是这里。还有一次机会喔。
Lan_Lose,不是这里。本老神仙的法力已用尽，请下次再来挑战！,不是这里。本老神仙的法力已用尽，请下次再来挑战！,不是这里。本老神仙的法力已用尽，请下次再来挑战！,不是这里。本老神仙的法力已用尽，请下次再来挑战！
Lan_Answer,正确答案,正确答案,正确答案,正确答案
Lan_ExamFinished,测验完成,测验完成,测验完成,测验完成
Lan_ArtExam,国学常识测验,国学常识测验,国学常识测验,国学常识测验
Lan_EXP,经验值,经验值,经验值,经验值
Lan_KP,知识点,知识点,知识点,知识点
Lan_Check,结算,结算,结算,结算
Lan_MsgLeave,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？
Lan_ExamStart,测验开始,测验开始,测验开始,测验开始
Lan_Cancel,取消,取消,取消,取消
Lan_Confirm,确定,确定,确定,确定
,,,,
ShareMsgA0,我在,我在,我在,我在
ShareMsgA1,秒内通过了《蔡武神仙》的,秒内通过了《蔡武神仙》的,秒内通过了《蔡武神仙》的,秒内通过了《蔡武神仙》的
ShareMsgA2,考验，国学涵养与气质明显提升了！,考验，国学涵养与气质明显提升了！,考验，国学涵养与气质明显提升了！,考验，国学涵养与气质明显提升了！
,,,,
ShareMsgB0,我以,我以,我以,我以
ShareMsgB1,的正确率通过了《蔡画仙先生》的艺术教育测验，美感与国学鉴赏能力明显提升了！,的正确率通过了《蔡画仙先生》的艺术教育测验，美感与国学鉴赏能力明显提升了！,的正确率通过了《蔡画仙先生》的艺术教育测验，美感与国学鉴赏能力明显提升了！,的正确率通过了《蔡画仙先生》的艺术教育测验，美感与国学鉴赏能力明显提升了！
,,,,
Sec,秒,秒,秒,秒
ShareDescriptionKP,获得知识点+5,获得知识点+5,获得知识点+5,获得知识点+5
ShareDescriptionEXP,获得经验值+100,获得经验值+100,获得经验值+100,获得经验值+100
QuizCompleteRate,题库完成,题库完成,题库完成,题库完成
QuizRightNum,答对题数,答对题数,答对题数,答对题数
HintMessage00,【请仔细记忆画作内容，再开始游戏】,【请仔细记忆画作内容，再开始游戏】,【请仔细记忆画作内容，再开始游戏】,【请仔细记忆画作内容，再开始游戏】
GoToArtbook,点击此处前往画册,点击此处前往画册,点击此处前往画册,点击此处前往画册
,,,,
//繪畫標題與描述,,,,
PicTitle0,聚瑞图,聚瑞图,聚瑞图,聚瑞图
PicDescription0,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。
PicTitle1,画瓶花,画瓶花,画瓶花,画瓶花
PicDescription1,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。
PicTitle2,画青羊,画青羊,画青羊,画青羊
PicDescription2,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。
PicTitle3,八骏图,八骏图,八骏图,八骏图
PicDescription3,八骏图以宫廷中的御马为对象，以一棵巨大的柳树为构图中心，用西方的绘画方法画出栩栩如生的人物、骏马与古木，从帝王到民间，为中国画注入了新的血液。,八骏图以宫廷中的御马为对象，以一棵巨大的柳树为构图中心，用西方的绘画方法画出栩栩如生的人物、骏马与古木，从帝王到民间，为中国画注入了新的血液。,八骏图以宫廷中的御马为对象，以一棵巨大的柳树为构图中心，用西方的绘画方法画出栩栩如生的人物、骏马与古木，从帝王到民间，为中国画注入了新的血液。,八骏图以宫廷中的御马为对象，以一棵巨大的柳树为构图中心，用西方的绘画方法画出栩栩如生的人物、骏马与古木，从帝王到民间，为中国画注入了新的血液。
PicTitle4,开泰图,开泰图,开泰图,开泰图
PicDescription4,本幅写生绵羊三只，表示「三羊开泰」之意，把母羊温柔慈爱、小羊稚嫩天真的表情动作，描写得极为传神动人，背后衬景的老梅、翠竹，用笔自由，参酌中西。,本幅写生绵羊三只，表示「三羊开泰」之意，把母羊温柔慈爱、小羊稚嫩天真的表情动作，描写得极为传神动人，背后衬景的老梅、翠竹，用笔自由，参酌中西。,本幅写生绵羊三只，表示「三羊开泰」之意，把母羊温柔慈爱、小羊稚嫩天真的表情动作，描写得极为传神动人，背后衬景的老梅、翠竹，用笔自由，参酌中西。,本幅写生绵羊三只，表示「三羊开泰」之意，把母羊温柔慈爱、小羊稚嫩天真的表情动作，描写得极为传神动人，背后衬景的老梅、翠竹，用笔自由，参酌中西。
PicTitle5,画白海青,画白海青,画白海青,画白海青
PicDescription5,白海青为猎鹰之名种。此画鸷鸟立于古松横干之上，振翅欲起之貌，动静之间，极具张力。,白海青为猎鹰之名种。此画鸷鸟立于古松横干之上，振翅欲起之貌，动静之间，极具张力。,白海青为猎鹰之名种。此画鸷鸟立于古松横干之上，振翅欲起之貌，动静之间，极具张力。,白海青为猎鹰之名种。此画鸷鸟立于古松横干之上，振翅欲起之貌，动静之间，极具张力。
,,,,
//生平介紹,,,,
BiographyTitle,郎世宁生平,郎世宁生平,郎世宁生平,郎世宁生平
BiographyPage0,郎世宁，原名朱塞佩·伽斯底里奥内(Giuseppe Castiglione)，1688年7月19日生于米兰，1707年，加入耶稣会，开始他的见习修士生涯。 1714年，郎世宁受到耶稣会传道部的派遣，前往中国传教，康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。,郎世宁，原名朱塞佩·伽斯底里奥内(Giuseppe Castiglione)，1688年7月19日生于米兰，1707年，加入耶稣会，开始他的见习修士生涯。 1714年，郎世宁受到耶稣会传道部的派遣，前往中国传教，康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。,郎世宁，原名朱塞佩·伽斯底里奥内(Giuseppe Castiglione)，1688年7月19日生于米兰，1707年，加入耶稣会，开始他的见习修士生涯。 1714年，郎世宁受到耶稣会传道部的派遣，前往中国传教，康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。,郎世宁，原名朱塞佩·伽斯底里奥内(Giuseppe Castiglione)，1688年7月19日生于米兰，1707年，加入耶稣会，开始他的见习修士生涯。 1714年，郎世宁受到耶稣会传道部的派遣，前往中国传教，康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。
BiographyPage1,康熙六十一年（1722年），康熙帝驾崩。雍正帝继位后，施行禁教政策，下令驱逐在中国境内的传教士，不过只有在宫廷服务的传教士例外，因此他不仅没有受到驱逐，反而受到更高的礼遇。在他停留中国长达51年期间，历经了康熙、雍正、乾隆三位皇帝。他不仅为后世留下大量珍贵的画作，而且对中西文化交流有一定程度的贡献。,康熙六十一年（1722年），康熙帝驾崩。雍正帝继位后，施行禁教政策，下令驱逐在中国境内的传教士，不过只有在宫廷服务的传教士例外，因此他不仅没有受到驱逐，反而受到更高的礼遇。在他停留中国长达51年期间，历经了康熙、雍正、乾隆三位皇帝。他不仅为后世留下大量珍贵的画作，而且对中西文化交流有一定程度的贡献。,康熙六十一年（1722年），康熙帝驾崩。雍正帝继位后，施行禁教政策，下令驱逐在中国境内的传教士，不过只有在宫廷服务的传教士例外，因此他不仅没有受到驱逐，反而受到更高的礼遇。在他停留中国长达51年期间，历经了康熙、雍正、乾隆三位皇帝。他不仅为后世留下大量珍贵的画作，而且对中西文化交流有一定程度的贡献。,康熙六十一年（1722年），康熙帝驾崩。雍正帝继位后，施行禁教政策，下令驱逐在中国境内的传教士，不过只有在宫廷服务的传教士例外，因此他不仅没有受到驱逐，反而受到更高的礼遇。在他停留中国长达51年期间，历经了康熙、雍正、乾隆三位皇帝。他不仅为后世留下大量珍贵的画作，而且对中西文化交流有一定程度的贡献。
BiographyPage2,郎世宁不仅是一位出色的画家，同时也是一位优秀的建筑和工艺设计师，参与了扩建圆明园的规划设计。他曾试图要求康熙帝开办学习用西方透视原理来绘画的绘画学校，但不被采用，之后帮助了年希尧出版《视学》，在中国公开介绍西洋透视学的原理与方法。郎世宁的宫廷画作品融合中西绘画艺术，不但表现出西方绘画中的写实、立体、注重线条和结构等特点，也表现出中国传统绘画的传神与韵味。,郎世宁不仅是一位出色的画家，同时也是一位优秀的建筑和工艺设计师，参与了扩建圆明园的规划设计。他曾试图要求康熙帝开办学习用西方透视原理来绘画的绘画学校，但不被采用，之后帮助了年希尧出版《视学》，在中国公开介绍西洋透视学的原理与方法。郎世宁的宫廷画作品融合中西绘画艺术，不但表现出西方绘画中的写实、立体、注重线条和结构等特点，也表现出中国传统绘画的传神与韵味。,郎世宁不仅是一位出色的画家，同时也是一位优秀的建筑和工艺设计师，参与了扩建圆明园的规划设计。他曾试图要求康熙帝开办学习用西方透视原理来绘画的绘画学校，但不被采用，之后帮助了年希尧出版《视学》，在中国公开介绍西洋透视学的原理与方法。郎世宁的宫廷画作品融合中西绘画艺术，不但表现出西方绘画中的写实、立体、注重线条和结构等特点，也表现出中国传统绘画的传神与韵味。,郎世宁不仅是一位出色的画家，同时也是一位优秀的建筑和工艺设计师，参与了扩建圆明园的规划设计。他曾试图要求康熙帝开办学习用西方透视原理来绘画的绘画学校，但不被采用，之后帮助了年希尧出版《视学》，在中国公开介绍西洋透视学的原理与方法。郎世宁的宫廷画作品融合中西绘画艺术，不但表现出西方绘画中的写实、立体、注重线条和结构等特点，也表现出中国传统绘画的传神与韵味。
BiographyPage3,郎世宁在数十年的探索中，致力于融合中西方绘画技法于一体，创作出独特的画风；他引进西方文艺复兴时期开创的明暗法，并使用交点透视，让​​透视视觉与中国画结合，并用胶状颜料在宣纸上作画，也就是今日的胶彩画作法。,郎世宁在数十年的探索中，致力于融合中西方绘画技法于一体，创作出独特的画风；他引进西方文艺复兴时期开创的明暗法，并使用交点透视，让​​透视视觉与中国画结合，并用胶状颜料在宣纸上作画，也就是今日的胶彩画作法。,郎世宁在数十年的探索中，致力于融合中西方绘画技法于一体，创作出独特的画风；他引进西方文艺复兴时期开创的明暗法，并使用交点透视，让​​透视视觉与中国画结合，并用胶状颜料在宣纸上作画，也就是今日的胶彩画作法。,郎世宁在数十年的探索中，致力于融合中西方绘画技法于一体，创作出独特的画风；他引进西方文艺复兴时期开创的明暗法，并使用交点透视，让​​透视视觉与中国画结合，并用胶状颜料在宣纸上作画，也就是今日的胶彩画作法。
BiographyPage4,郎世宁受到乾隆皇帝的荣宠，乾隆二十二年，郎世宁70岁时乾隆皇帝替他举办的生日宴会最具代表。乾隆三十一年，这位从事绘画工作和推动中西艺术文化交流长达五十一年的义大利传教士病逝北京，在中国结束他的传奇一生。,郎世宁受到乾隆皇帝的荣宠，乾隆二十二年，郎世宁70岁时乾隆皇帝替他举办的生日宴会最具代表。乾隆三十一年，这位从事绘画工作和推动中西艺术文化交流长达五十一年的义大利传教士病逝北京，在中国结束他的传奇一生。,郎世宁受到乾隆皇帝的荣宠，乾隆二十二年，郎世宁70岁时乾隆皇帝替他举办的生日宴会最具代表。乾隆三十一年，这位从事绘画工作和推动中西艺术文化交流长达五十一年的义大利传教士病逝北京，在中国结束他的传奇一生。,郎世宁受到乾隆皇帝的荣宠，乾隆二十二年，郎世宁70岁时乾隆皇帝替他举办的生日宴会最具代表。乾隆三十一年，这位从事绘画工作和推动中西艺术文化交流长达五十一年的义大利传教士病逝北京，在中国结束他的传奇一生。
