,Q,A,A1,A2,A3,Hint0,Hint1,Why
0,郎世宁为哪一国人？,意大利,美国,中国,法国,郎世宁本名为朱塞佩·伽斯底里奥内（Giuseppe Castiglione）,19岁时为教堂画壁画。,郎世宁本名为朱塞佩·伽斯底里奥内（Giuseppe Castiglione），出生于意大利米兰的圣马尔切利诺，自幼受到良好的艺术文化氛围的熏陶
1,郎世宁是在中国的哪一个朝代时来到中国？,清,宋,元,明,他成为宫廷画家后，每天都在画室作画。此外，他继续学习汉文和满文。,他参与圆明园的规划设计，负责绘制园林建设的蓝图，也画出不少装饰殿堂的作品,康熙五十四年（1715年）到中国时，郎世宁被康熙帝以艺术家的身份召进宫中，他成为宫廷画家后，每天都在画室作画。
2,郎世宁最早来到中国的身分是？,传教士,天文学家,军人,艺术家,康熙帝驾崩。雍正帝继位后，施行禁教政策,郎世宁19岁时左右加入了热那亚耶稣会,清康熙五十四年，郎世宁二十七岁时以天主教耶稣会的修士身份来到中国传教。
3,后世的艺评家认为郎世宁画何种主题最传神？,马,鱼,鸟,人物,他拥有生动现实的绘画风格，创作了《聚瑞图》、《嵩献英芝图》、《百骏图》等作品。,「百骏图」的手卷里，可以看见风景和百匹马，那些全是皇帝的马。,郎世宁的代表作品有《八骏图》、《聚瑞图》、《嵩献英芝图》、《乾隆大阅图》、《百骏图》、《弘历及后妃像》、《平定西域战图》、《十犬图》等。后世艺评家认为他画马最为传神
4,郎世宁的八骏图广为人知，请问八骏图的骏是指？,马,人物,鸟,花,「百骏图」的手卷里，可以看见风景和百匹马，那些全是皇帝的马。,他拥有生动现实的绘画风格，创作了《聚瑞图》、《嵩献英芝图》、《百骏图》等作品。,「骏」是良马的意思。
5,请问下列何者非郎世宁之作品？,清明上河图,乾隆大阅图,八骏图,画鱼藻,《乾隆大阅图》为郎世宁作品。,《画鱼藻》为郎世宁作品。,《清明上河图》的原画长528公分，高24.8公分，最早的版本为北宋画家张择端所作，现藏北京故宫博物院。
6,郎世宁的本名为？,G. Castiglione,G. Castrol,G. Castiling,G. Castios,,,郎世宁，原名朱塞佩·伽斯底里奥内（意大利语：Giuseppe Castiglione）。
7,郎世宁绘图时使用的透视为下列何种？,交点透视,空气透视,散点透视,折线透视,,,郎世宁的方法，是用交点透视(linear perspective)，或称直线透视法，让透视视觉跟中华画空间的方式结合。
8,中国传统绘画使用的透视法为下列何种？,散点透视,交点透视,空气透视,折线透视,,,中国画是散点透视法，即一个画面中可以有许多焦点，如同一边走一边看，每一段可以有一个焦点，因此可以画非常长的长卷或立轴，视域范围无限扩大。
9,交点透视法又称？,直线透视,前缩透视,仰角透视,三角透视,,,交点透视法（或称直线透视法Linear perspective）：以景物中的天花板、墙角、地砖、壁柱联机、桌椅左右边线、窗框上下边线或斜角阴影边线等的假设延长线，相交于画面深处消失的一点，营造出景观深入的感觉。
10,请问郎世宁的生卒年(公元)？,1688~1766,2688~2766,688~766,1900~1971,,,郎世宁，原名朱塞佩·伽斯底里奥内（意大利语：Giuseppe Castiglione，1688年7月19日－1766年7月16日），意大利人，天主教耶稣会传教士及中国宫廷画家，写实画风纪录了清朝初期的中国宫廷人物与景色。
